Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-0.2,0,0,3.12E-19,4.577496529,0.010998132,-4.5774817,-0.003899644,0.011766099
-0.2,0,0,5.00E-05,4.639417648,0.010944244,-4.584876,0.7092162,0.013288151
-0.2,0,0,0.0001,4.807505608,0.01089031,-4.592271,1.4223368,0.017058595
-0.2,0,0,0.00015,5.071218967,0.010836284,-4.5996656,2.135467,0.021580629
-0.2,0,0,0.0002,5.416615486,0.010782397,-4.6070614,2.8486128,0.026412229
-0.2,0,0,0.00025,5.829199791,0.010728389,-4.614457,3.5617754,0.031370744
-0.2,0,0,0.0003,6.295783997,0.010674537,-4.6218534,4.2749567,0.036397744
-0.2,0,0,0.00035,6.805278301,0.010620522,-4.62925,4.9881606,0.041470505
-0.2,0,0,0.0004,7.348770142,0.010566614,-4.636647,5.701387,0.046578435
-0.2,0,0,0.00045,7.919268608,0.010512603,-4.6440444,6.414636,0.051716473
-0.2,0,0,0.0005,8.511352539,0.010458722,-4.651442,7.1279097,0.056881495
-0.2,0,0,0.00055,9.120825768,0.010404916,-4.6588397,7.8412094,0.062070303
-0.2,0,0,0.0006,9.744432449,0.010351184,-4.666238,8.554536,0.067279658
-0.2,0,0,0.00065,10.37963104,0.010297315,-4.6736364,9.267888,0.072506915
-0.2,0,0,0.0007,11.02441788,0.010243341,-4.681035,9.981262,0.077750093
-0.2,0,0,0.00075,11.67721653,0.010189378,-4.6884336,10.694666,0.083007678
-0.2,0,0,0.0008,12.33674526,0.010135477,-4.6958327,11.408082,0.088278097
-0.2,0,0,0.00085,13.00198936,0.010081424,-4.703232,12.121519,0.093559916
-0.2,0,0,0.0009,13.6721096,0.010027562,-4.7106304,12.8349695,0.098851552
-0.2,0,0,0.00095,14.34643173,0.009973558,-4.71803,13.548439,0.104151617
-0.2,0,0,0.001,15.02438545,0.009919529,-4.725429,14.261921,0.109458865
