Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5,
-0.2,-1.00E-04,0,0,4.799190521,-1.4157541,-4.5856137,-0.003782234,0.017057691,
-0.2,-5.00E-05,0,0,4.635075569,-0.70237553,-4.5815477,-0.003840926,0.01335326,
-0.2,3.12E-19,0,0,4.577496529,0.010998132,-4.5774817,-0.003899644,0.011766099,
-0.2,5.00E-05,0,0,4.630428314,0.72437173,-4.573416,-0.003958422,0.013409142,
-0.2,0.0001,0,0,4.790210247,1.4377506,-4.569351,-0.004017096,0.017149629,
-0.2,0.00015,0,0,5.046707153,2.1511388,-4.565286,-0.004075704,0.021672789,
-0.2,0.0002,0,0,5.386126518,2.8645425,-4.561221,-0.004134654,0.026492471,
-0.2,0.00025,0,0,5.79392004,3.5779624,-4.5571566,-0.004193491,0.03144066,
-0.2,0.0003,0,0,6.256739616,4.291402,-4.553092,-0.004252459,0.036461079,
-0.2,0.00035,0,0,6.763307095,5.004863,-4.5490274,-0.004311301,0.041528995,
-0.2,0.0004,0,0,7.304532528,5.7183466,-4.544963,-0.004370174,0.046632313,
-0.2,0.00045,0,0,7.873279095,6.4318542,-4.5408983,-0.004429068,0.051764576,
-0.2,0.0005,0,0,8.464009285,7.1453876,-4.536834,-0.004488074,0.056921867,
-0.2,0.00055,0,0,9.072434425,7.8589463,-4.532769,-0.004546869,0.062101524,
-0.2,0.0006,0,0,9.695228577,8.57253,-4.528704,-0.004605714,0.067301797,
-0.2,0.00065,0,0,10.32980156,9.286141,-4.524639,-0.004664571,0.072521689,
-0.2,0.0007,0,0,10.97411251,9.999777,-4.520574,-0.004723565,0.077760545,
-0.2,0.00075,0,0,11.62654495,10.713434,-4.516509,-0.004782223,0.083017567,
-0.2,0.0008,0,0,12.28580475,11.427109,-4.5124435,-0.004840917,0.088291343,
-0.2,0.00085,0,0,12.95085144,12.140801,-4.508378,-0.004899736,0.093579908,
-0.2,0.0009,0,0,13.62084007,12.85451,-4.504312,-0.004958541,0.098881019,
-0.2,0.00095,0,0,14.29508781,13.568246,-4.500246,-0.005017632,0.104192674,
-0.2,0.001,0,0,14.97300529,14.281989,-4.49618,-0.005076406,0.109512958,
